org_profile_link,count_person,avg_word_length,median_word_length
/company/waste-management?trk=ppro_cprof,3139,127.70532016565785,102
/company/syracuse-university?trk=ppro_cprof,3135,137.29346092503988,108
/company/johns-hopkins-university?trk=ppro_cprof,3130,143.0268370607029,112
/company/university-of-colorado-boulder?trk=ppro_cprof,3126,137.80134357005758,110
/company/cargill?trk=ppro_cprof,3117,126.353545075393,99
/company/toys-r-us?trk=ppro_cprof,3101,120.62947436310867,95
/company/university-of-missouri?trk=ppro_cprof,3095,135.56252019386108,108
/company/starwood-hotels-&-resorts-worldwide-inc?trk=ppro_cprof,3092,133.625808538163,106
/company/nyc-department-of-education?trk=ppro_cprof,3074,137.72218607677294,107
/company/centurylink?trk=ppro_cprof,3063,129.18021547502448,102
/company/ann-inc.?trk=ppro_cprof,3056,118.58802356020942,95
/company/fedex-office?trk=ppro_cprof,3054,128.27570399476096,103
/company/nasa?trk=ppro_cprof,3050,148.3055737704918,119
/company/rockwell-automation?trk=ppro_cprof,3045,131.41346469622331,102
/company/kimberly-clark?trk=ppro_cprof,3023,130.58881905391993,104
/company/quintiles?trk=ppro_cprof,3023,132.46080052927556,107
/company/espn?trk=ppro_cprof,3021,139.45084409136047,109
/company/pepsico-frito-lay?trk=ppro_cprof,3020,124.56953642384106,100
/company/rockwell-collins?trk=ppro_cprof,3018,134.52717031146454,109
/company/university-of-houston?trk=ppro_cprof,3015,132.0474295190713,105
/company/raymond-james-financial-inc-?trk=ppro_cprof,3003,143.5877455877456,117
/company/ucsf?trk=ppro_cprof,3003,137.6080586080586,109
/company/cummins-inc?trk=ppro_cprof,3001,128.35621459513496,102
/company/examiner.com?trk=ppro_cprof,2984,155.50134048257374,121
/company/robert-half-technology?trk=ppro_cprof,2979,142.11043974488084,115
/company/carnegie-mellon-university?trk=ppro_cprof,2977,134.06247900571046,106
/company/bechtel-corporation?trk=ppro_cprof,2974,140.60995292535307,113
/company/dyncorp-international?trk=ppro_cprof,2974,147.88164088769335,124
/company/netapp?trk=ppro_cprof,2973,136.41809619912547,111
/company/us-army-corps-of-engineers?trk=ppro_cprof,2969,138.73155944762547,112
/company/united-states-senate?trk=ppro_cprof,2966,142.71105866486852,109
/company/university-of-tennessee?trk=ppro_cprof,2963,136.12082348970637,112
/company/hcl-technologies?trk=ppro_cprof,2960,160.7858108108108,135
/company/bmo-harris-bank?trk=ppro_cprof,2953,123.65966813410091,98
/company/compuware?trk=ppro_cprof,2950,139.11830508474577,113
/company/express-llc?trk=ppro_cprof,2946,118.3143245078072,93
/company/ciber_1?trk=ppro_cprof,2945,145.74804753820035,120
/company/hca?trk=ppro_cprof,2943,131.97723411484878,105
/company/mcgraw-hill-financial?trk=ppro_cprof,2931,135.16649607642444,106
/company/vmware?trk=ppro_cprof,2930,141.23890784982936,114
/company/subway?trk=ppro_cprof,2928,115.67793715846994,92
/company/georgia-pacific-llc?trk=ppro_cprof,2927,128.5083703450632,102
/company/coca-cola-enterprises?trk=ppro_cprof,2927,126.89374786470789,98
/company/unilever?trk=ppro_cprof,2919,129.92668722165126,102
/company/pearson-north-america?trk=ppro_cprof,2905,132.19586919104992,105
/company/whole-foods-market?trk=ppro_cprof,2881,124.10065949323152,99
/company/cleveland-clinic?trk=ppro_cprof,2878,134.818276580959,106
/company/progressive-insurance?trk=ppro_cprof,2875,125.12869565217392,101
/company/freescale-semiconductor?trk=ppro_cprof,2872,131.28621169916434,101
/company/cintas?trk=ppro_cprof,2866,123.7920446615492,100
/company/cvs-pharmacy?trk=ppro_cprof,2841,115.65575501583949,92
/company/citizens-bank?trk=ppro_cprof,2841,122.79479056670186,96
/company/mahindra-satyam?trk=ppro_cprof,2838,171.02325581395348,148
/company/fis?trk=ppro_cprof,2836,131.5222143864598,105
/company/w.w.-grainger?trk=ppro_cprof,2836,125.29866008462623,100
/company/florida-state-university?trk=ppro_cprof,2824,133.32932011331445,105
/company/marsh?trk=ppro_cprof,2823,132.9404888416578,109
/company/monsanto?trk=ppro_cprof,2821,134.33534207727757,106
/company/ogilvy-&-mather?trk=ppro_cprof,2820,152.1372340425532,119
/company/saks-fifth-avenue?trk=ppro_cprof,2819,125.02092940759134,96
/company/express-scripts?trk=ppro_cprof,2809,124.97614809540762,101
/company/boehringer-ingelheim?trk=ppro_cprof,2796,126.76001430615165,102
/company/trw?trk=ppro_cprof,2794,134.42841803865426,107
/company/principal-financial-group?trk=ppro_cprof,2786,129.81263460157933,104
/company/international-paper?trk=ppro_cprof,2779,127.92371356603094,103
/company/adecco?trk=ppro_cprof,2775,127.90126126126125,100
